,Datetime,Tweet Id,Text,Username,Like Count,Reply Count,Retweet Count,Language
0,2022-02-27 23:34:10+00:00,1498079039235502081,"Also had a phone conversation with @vonderleyen. Talked about concrete decisions on strengthening Ukraine's defense capabilities, macro-financial assistance and Ukraine's membership in the #EU.",ZelenskyyUa,57452,2222,7335,en
1,2022-02-27 23:34:05+00:00,1498079017328648197,"Також провів телефонну розмову з @vonderleyen. Обговорили конкретні рішення щодо підсилення обороноздатності України, макрофінансову допомогу та членство України в #ЄС.",ZelenskyyUa,12252,410,1307,uk
2,2022-02-27 23:25:42+00:00,1498076908860456964,Talked to 🇬🇧 Prime Minister @BorisJohnson and 🇵🇱 President @AndrzejDuda about the current security situation. Agreed on further joint steps to counter the aggressor. Anti-war coalition in action!,ZelenskyyUa,89891,1887,10925,en
3,2022-02-27 23:25:36+00:00,1498076881995898885,Поговорив із Прем'єр-міністром 🇬🇧 @BorisJohnson і Президентом 🇵🇱 @AndrzejDuda про актуальну безпекову ситуацію. Погодили подальші спільні кроки щодо протидії агресору. Антивоєнна коаліція в дії!,ZelenskyyUa,16665,449,1861,uk
4,2022-02-27 22:56:21+00:00,1498069523467051008,"Thank you for the warm conversation, Your All-Holiness #Bartholomew. Your words are like hands that hold us up in this difficult time. Ukrainians feel the spiritual support and strength of your prayers. We hope for the soonest peace.",ZelenskyyUa,69747,1922,6880,en
5,2022-02-27 22:56:14+00:00,1498069493859426305,"Дякую за теплу розмову, Ваша Всесвятосте #Варфоломій. Ваші слова – як руки, що підтримують нас у цей тяжкий час. Українці відчувають духовну підтримку та силу ваших молитов. Сподіваємося на швидке настання миру.",ZelenskyyUa,25845,801,2806,uk
6,2022-02-27 18:58:46+00:00,1498009732434513920,"We keep in touch with loyal friends constantly. I spoke with @GitanasNauseda about the current military situation, international efforts to force the aggressor to peace and Ukraine's membership in the #EU. Thank you, Gitanas, for your continued support.",ZelenskyyUa,86347,3468,8626,en
7,2022-02-27 18:58:29+00:00,1498009659344621570,"Тримаємо постійний зв'язок з вірними друзями. Поговорив із @GitanasNauseda про поточну воєнну ситуацію, міжнародні зусилля щодо примушення агресора до миру та членство України в #ЄС. Дякую, Гітанасе, за постійну підтримку.",ZelenskyyUa,27755,789,2585,uk
8,2022-02-27 18:43:56+00:00,1498005998409289732,"It was nice to learn that in addition to yesterday's agreements, Belgium is sending us another 3,000 machine guns and 200 anti-tank grenade launchers. Thank you @alexanderdecroo for your leadership.",ZelenskyyUa,158512,3071,15838,en
9,2022-02-27 18:43:46+00:00,1498005958135627786,"Приємно було дізнатися, що на додачу до вчорашніх домовленостей Бельгія надсилає нам ще 3000 автоматів та 200 протитанкових гранатометів. Дякую @alexanderdecroo за ваше лідерство.",ZelenskyyUa,37741,831,3755,uk
10,2022-02-27 18:34:54+00:00,1498003725486641155,"Talked to 🇵🇹 President Marcelo Rebelo de Sousa. Thanked for the closed sky for Russian planes, support for the decision to disconnect Russia from SWIFT and concrete defense assistance. 🇵🇹 provided weapons, individual protection means &amp; other equipment to 🇺🇦. Together - stronger.",ZelenskyyUa,150963,3522,20523,en
11,2022-02-27 18:34:43+00:00,1498003681446354954,"Поговорив із Президентом 🇵🇹 Марселу Ребелу де Соузою. Подякував за закрите небо для російських літаків, підтримку рішення про відключення Росії від SWIFT та конкретну оборонну допомогу. Португалія надала 🇺🇦 зброю, індивідуальний захист та інше обладнання. Разом – сильніші.",ZelenskyyUa,64488,1732,7322,uk
12,2022-02-27 10:46:00+00:00,1497885721931268103,Ukraine has submitted its application against Russia to the ICJ. Russia must be held accountable for manipulating the notion of genocide to justify aggression. We request an urgent decision ordering Russia to cease military activity now and expect trials to start next week.,ZelenskyyUa,288729,10568,50424,en
13,2022-02-27 10:45:53+00:00,1497885693376356352,Україна офіційно направила позов проти РФ до Міжнародного суду ООН у Гаазі. Вимагаємо притягнути Росію до відповідальності за спотворення поняття геноциду для виправдання агресії. Просимо суд негайно наказати РФ припинити військові дії та призначити слухання вже наступного тижня.,ZelenskyyUa,129817,3603,20205,uk
14,2022-02-26 19:53:43+00:00,1497661173231239170,"Had a phone conversation with @BorisJohnson. Grateful to the British Prime Minister for his position, new decisions to enhance the combat capabilities of the Ukrainian army. Agreed on further joint steps to counter the aggressor.",ZelenskyyUa,243716,12326,25217,en
15,2022-02-26 19:53:37+00:00,1497661147868278795,"Поговорив телефоном із @BorisJohnson. Вдячний британському Прем'єр-міністру за його позицію, нові рішення щодо посилення потужності української армії. Узгодили подальші спільні кроки з протидії агресору.",ZelenskyyUa,53327,1762,5068,uk
16,2022-02-26 19:30:23+00:00,1497655298907009027,"In a phone conversation, I thanked @AndrzejDuda for his personal leadership in granting Ukraine membership in the #EU. The concrete daily assistance of Poland to our country is also invaluable. The 🇺🇦 🇵🇱  relationship is a common history and, I am sure, a common European future.",ZelenskyyUa,151236,3249,16368,en
17,2022-02-26 19:30:12+00:00,1497655254447542278,"У телефонній розмові подякував @AndrzejDuda за особисте лідерство в питанні надання членства Україні в #ЄС. Неоціненною є й конкретна щоденна допомога нашій країні з боку Польщі. Стосунки 🇺🇦 та 🇵🇱 – це спільна історія і, впевнений, спільне європейське майбутнє.",ZelenskyyUa,37830,878,3430,uk
18,2022-02-26 19:27:12+00:00,1497654500781441026,Informed President of Georgia @Zourabichvili_S and Prime Minister of the Czech Republic @P_Fiala about the current situation. Concrete assistance was discussed. Grateful to our friends 🇬🇪 and 🇨🇿 for their support.,ZelenskyyUa,100348,1669,9502,en
19,2022-02-26 19:27:06+00:00,1497654474801831938,Поінформував про поточну ситуацію пані Президента Грузії @Zourabichvili_S та Прем'єр-міністра Чехії @P_Fiala. Обговорили конкретну допомогу. Дякую нашим друзям 🇬🇪 та 🇨🇿 за підтримку.,ZelenskyyUa,51059,1272,4403,uk
