"","word","year"
"1"," Moscow Vladimir Putin visited the construction site of the National Space Centre https t co MULxdSapha https t co HbmwjRskCV",2022
"2","Vladimir Putin met with Defence Minister Sergei Shoigu and Chief of the General Staff of the Armed Forces Valery Gerasimov https t co iFxbt46gjR",2022
"3","Telephone conversation with Prime Minister of Israel Naftali Bennett https t co LD86Ewsz9P",2022
"4","The President congratulated Special Operations Forces personnel and veterans on their professional holiday https t co YwJUGeXK5s",2022
"5","Telephone conversation with Prime Minister of Armenia Nikol Pashinyan https t co HRZhCOO7Ld",2022
"6","Telephone conversation with Sadyr Japarov situation in Ukraine strengthening Russia Kyrgyzstan relations and strategic partnership https t co x9M540Bndg",2022
"7","Meeting with permanent members of the Security Council The main topic is the situation in Ukraine https t co 0jAtfv7ckR https t co 9ed9hjBHHz",2022
"8","Telephone conversation with President of China Xi Jinping developments in Ukraine https t co zTF84jSy07",2022
"9","Vladimir Putin had a telephone conversation with President of Syria Bashar al Assad https t co rVKIqD5kWa",2022
"10","Vladimir Putin and President of France Emmanuel Macron discussed the situation in Ukraine https t co N7pelem0zM",2022
"11","Telephone conversation with Prime Minister of India Narendra Modi https t co CwOnpgtI3F",2022
"12","Telephone conversation with President of Iran Sayyid Ebrahim Raisi https t co RJM0mK3OjD",2022
"13"," Kremlin Meeting with representatives of Russian business circles https t co 66hNUWSVoh https t co V0Y9p0K9T5",2022
"14"," Kremlin Vladimir Putin met with Prime Minister of Pakistan Imran Khan who is in Russia on a working visit https t co jrvKVN0fzX https t co WF7aupsZau",2022
"15","Address by the President of the Russian Federation https t co jRvdLQE8TJ",2022
"16","Telephone conversation with President of Turkey Recep Tayyip Erdogan https t co cZGuYZTjLj",2022
"17"," Russia and Azerbaijan have significantly strengthened and expanded cooperation in the past decades Press statements following talks https t co kfZFYF1vEc",2022
"18","Defender of the Fatherland Day The President laid a wreath at the Tomb of the Unknown Soldier by the Kremlin Wall https t co jCAiRegYC0 https t co p6VSOHC5x1",2022
"19"," February23 Vladimir Putin wished a happy holiday to Armed Forces veterans military and civilian personnel and all Russians https t co dBIC4HdTn0",2022
"20"," The Minsk Agreements were dead long before yesterday s recognition of the people s republics of Donbass The President answered journalists questions https t co c41e8yOPdm https t co neSIVX2Fxj",2022
"21"," Kremlin Talks with President of Azerbaijan Ilham Aliyev https t co ZSb7Dq2kEi https t co HpMV1ejJFP",2022
"22","Qatar is hosting the 6th Summit of Gas Exporting Countries Forum Greetings from the President https t co KMB1sL0oWF",2022
"23","The President of Russia and heads of the Donetsk and Lugansk People s Republics have signed a treaty of friendship and cooperation https t co CuzfdvHXB1",2022
"24","An executive order on recognition of the Donetsk and Lugansk People s Republics has been signed https t co CuzfdvHXB1",2022
"25","Vladimir Putin had telephone conversations with President of France Emmanuel Macron and German Chancellor Olaf Scholz https t co PNXsdbefQX",2022
"26","Telephone conversation with Prime Minister of Armenia Nikol Pashinyan bilateral cooperation developments in Nagorno Karabakh https t co cyiebyUcCG",2022
"27"," Russia has made and is making efforts to resolve all matters peacefully The Security Council held a meeting at the Kremlin https t co CzbbIEf2Go https t co xUpJW2i62R",2022
"28"," The Paralympics are unequalled in their inspiring power The President met with the Russian Paralympic team ahead of Beijing2022 https t co yzEw4ztKxU https t co 2QZ3pE4e1n",2022
"29","On February 22 Vladimir Putin will meet with President of Azerbaijan Ilham Aliyev in Moscow https t co 1LXKhTL5s2",2022
"30","Telephone conversation with President of France Emmanuel Macron developments in Ukraine evacuation of LPR and DPR citizens https t co P3fyDXs0Kf",2022
"31","A Spanish fishing trawler sank off the coast of Canada Vladimir Putin s condolences https t co WMlBp5FtSa",2022
"32","Strategic deterrence forces exercise https t co ip5QOggSca https t co LI4mItJttW",2022
"33"," Beijing2022 Congratulations to Alexander Bolshunov winner of the Olympic mass start free cross country skiing race https t co nPklKhAB9S",2022
"34","Vladimir Putin and President of Belarus Alexander Lukashenko held a joint news conference following Russian Belarusian talks https t co uZqbNf7lz8 https t co 0HwZGPt5N5",2022
"35","Meeting with permanent members of the Security Council the situation around Ukraine security guarantees https t co fleJeRoTpq https t co OkusDM9rNX",2022
"36"," Beijing2022 The President congratulated Anna Shcherbakova on winning the women s figure skating gold medal at the 2022 Winter Olympics https t co kT5jfG4Ddk",2022
"37","Vladimir Putin held a meeting on economic issues and drafting the Address to the Federal Assembly https t co sc4Fr1UcQC https t co l2LBm8ntpP",2022
