"","word","year"
"1","Also had a phone conversation with Talked about concrete decisions on strengthening Ukraine s defense capabilities macro financial assistance and Ukraine s membership in the EU ",2022
"2","Talked to Prime Minister and President about the current security situation Agreed on further joint steps to counter the aggressor Anti war coalition in action ",2022
"3","Thank you for the warm conversation Your All Holiness Bartholomew Your words are like hands that hold us up in this difficult time Ukrainians feel the spiritual support and strength of your prayers We hope for the soonest peace ",2022
"4","We keep in touch with loyal friends constantly I spoke with about the current military situation international efforts to force the aggressor to peace and Ukraine s membership in the EU Thank you Gitanas for your continued support ",2022
"5","It was nice to learn that in addition to yesterday s agreements Belgium is sending us another 3 000 machine guns and 200 anti tank grenade launchers Thank you for your leadership ",2022
"6","Talked to President Marcelo Rebelo de Sousa Thanked for the closed sky for Russian planes support for the decision to disconnect Russia from SWIFT and concrete defense assistance provided weapons individual protection means amp other equipment to Together stronger ",2022
"7","Ukraine has submitted its application against Russia to the ICJ Russia must be held accountable for manipulating the notion of genocide to justify aggression We request an urgent decision ordering Russia to cease military activity now and expect trials to start next week ",2022
"8","Had a phone conversation with Grateful to the British Prime Minister for his position new decisions to enhance the combat capabilities of the Ukrainian army Agreed on further joint steps to counter the aggressor ",2022
"9","In a phone conversation I thanked for his personal leadership in granting Ukraine membership in the EU The concrete daily assistance of Poland to our country is also invaluable The relationship is a common history and I am sure a common European future ",2022
"10","Informed President of Georgia and Prime Minister of the Czech Republic about the current situation Concrete assistance was discussed Grateful to our friends and for their support ",2022
"11","Thanked Pope Francis for praying for peace in Ukraine and a ceasefire The Ukrainian people feel the spiritual support of His Holiness ",2022
"12","Germany has just announced the provision of anti tank grenade launchers and stinger missiles to Ukraine Keep it up Chancellor Anti war coalition in action ",2022
"13","According to the results of my conversation with all gas stations in Ukraine have been instructed to provide fuel for ambulances and SES free of charge At night we are waiting for a plane with medications from Azerbaijan ",2022
"14","To deprive the aggressor country of the right to vote in the UN Security Council to qualify actions amp statements as genocide of people to help with the delivery of corpses of soldiers Talked about it in a conversation with the UN Secretary General",2022
"15","The largest demonstration in the modern history of Estonia took place in support of Ukraine I am grateful to the Estonian people and for their solidarity in these difficult times Mr President our vyshyvanka suits you https t co giMvr5d6HW",2022
"16","Talked to Prime Minister of Thanked for the decisions made in support of Ukraine in the defense and security sphere The anti war coalition is working ",2022
"17","I continue negotiations with international partners Had a conversation with President We appreciate the humanitarian aid and medicines provided Thank you for your support to ",2022
"18","I thank my friend Mr President of and the people of for their strong support The ban on the passage of warships to the Black Sea and significant military and humanitarian support for are extremely important today The people of will never forget that ",2022
"19","Spoke with Prime Minister Informed of the course of repulsing aggression More than 100 000 invaders are on our land They insidiously fire on residential buildings Urged to give us political support in Security Council Stop the aggressor together ",2022
"20","I m getting support calls Spoke with President of Switzerland and Prime Minister of Greece Thank you for the decisions on concrete assistance to ",2022
"21","This is the beginning of a new page in the history of our states MarioDraghi in a phone conversation supported Russia s disconnection from SWIFT the provision of defense assistance Ukraine must become part of the EU ",2022
"22","Ukraine is fighting the invader with weapons in hands defending its freedom and European future Discussed with effective assistance to our country from in this heroic struggle I believe that the EU also chooses Ukraine ",2022
"23","It is a crucial moment to close the long standing discussion once and for all and decide on Ukraine s membership in the EU Discussed with further effective assistance and the heroic struggle of Ukrainians for their free future ",2022
